Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
105223;4980;Trachys troglodytes;åkerväddspraktbagge;Art;72;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii)
100515;4995;Buprestis haemorrhoidalis;bronspraktbagge;Art;507;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii,iv)
100516;4996;Buprestis novemmaculata;gulfläckig praktbagge;Art;159;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
100518;4999;Buprestis splendens;glanspraktbagge;Art;1;Skog (S) - Stor betydelse;RE;
105212;5004;Chrysobothris chrysostigma;barrpraktbagge;Art;441;Skog (S) - Stor betydelse;NT;B2ab(iii)
100606;5016;Chalcophora mariana;jättepraktbagge;Art;0;Skog (S) - Stor betydelse;EN;B1ab(iii)+2ab(iii)
100821;5020;Dicerca alni;alpraktbagge;Art;134;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii)
100822;5021;Dicerca furcata;björkpraktbagge;Art;152;Skog (S) - Stor betydelse;EN;B2ab(iii)
100823;5022;Dicerca moesta;tallpraktbagge;Art;255;Skog (S) - Stor betydelse;NT;B2ab(iii)
105228;5035;Arctobyrrhus dovrensis;;Art;38;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
105235;5048;Porcinolus murinus;;Art;142;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii)
102348;5067;Chaetophora spinosa;;Art;29;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B1ab(iii)c(iv)+2ab(iii)c(iv)
102231;5083;Dryops nitidulus;;Art;15;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100922;5099;Esolus angustatus;;Art;2;Sötvatten (L) - Stor betydelse;RE;
102287;5151;Limnichus pygmaeus;;Art;64;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B1ab(iii)+2ab(iii)
102204;5178;Callidium aeneum;grönhjon;Art;1277;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii,iv)
101566;5191;Poecilium pusillum;mörk spegelbock;Art;232;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B1ab(iii)+2ab(iii)
101712;5196;Ropalopus femoratus;rödbent ögonbock;Art;289;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B1ab(iii)+2ab(iii)
101713;5197;Ropalopus macropus;svart ögonbock;Art;5;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;RE;
100571;5206;Cerambyx cerdo;större ekbock;Art;311;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;B1ab(iii)+2ab(iii)
100572;5207;Cerambyx scopolii;mindre ekbock;Art;1325;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100622;5215;Chlorophorus herbstii;lindfläckbock;Art;265;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
101582;5227;Plagionotus detritus;bredbandad ekbarkbock;Art;527;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
102005;5234;Xylotrechus pantherinus;sälggetingbock;Art;184;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii,iv)
101721;5268;Rosalia alpina;alpbock;Art;6;Skog (S) - Stor betydelse;RE;
101186;5285;Leiopus punctulatus;aspsplintbock;Art;244;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
101310;5315;Mesosa curculionoides;ögonfläcksbock;Art;147;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B2ab(iii)
101312;5317;Mesosa nebulosa;molnfläcksbock;Art;639;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
